SaleID,Date,CustomerID,ProductID,Quantity,TotalAmount
1,2025-11-01,708,940,2,8518.3
2,2025-11-01,260,566,4,16103.36
3,2025-11-01,317,655,3,1700.64
4,2025-11-01,925,832,1,3793.72
5,2025-11-01,548,888,2,7915.98
6,2025-11-01,879,454,4,16315.52
7,2025-11-01,9,932,4,11842.2
8,2025-11-01,950,940,3,12777.45
9,2025-11-01,309,93,2,3484.94
10,2025-11-01,305,216,2,5756.18
11,2025-11-01,938,450,3,4636.44
12,2025-11-01,901,832,4,15174.88
13,2025-11-01,809,35,3,4404.87
14,2025-11-01,888,83,4,5522.68
15,2025-11-01,483,755,4,886.84
16,2025-11-01,949,862,3,13819.08
17,2025-11-01,735,433,1,3370.81
18,2025-11-01,845,165,3,1716.9
19,2025-11-01,519,68,3,2462.4
20,2025-11-01,431,617,5,605.55
21,2025-11-01,756,335,4,16187.6
22,2025-11-01,712,29,1,650.13
23,2025-11-01,657,657,2,5197.54
24,2025-11-01,646,455,2,7864.7
25,2025-11-01,4,411,2,8496.42
26,2025-11-01,644,313,3,7584.78
27,2025-11-01,590,85,1,596.26
28,2025-11-01,162,256,5,8959.85
29,2025-11-01,731,993,2,3809.58
30,2025-11-01,868,609,4,15798.0
31,2025-11-01,812,962,3,11518.11
32,2025-11-01,463,490,2,7241.26
33,2025-11-01,267,178,5,24005.65
34,2025-11-01,847,336,3,3682.5
35,2025-11-01,204,87,4,9941.52
36,2025-11-01,377,187,4,3290.92
37,2025-11-01,898,387,5,13990.65
38,2025-11-01,230,22,1,1292.32
39,2025-11-01,946,572,5,19573.1
40,2025-11-01,642,235,1,1058.82
41,2025-11-01,998,474,2,9827.54
42,2025-11-01,269,719,2,6834.24
43,2025-11-01,51,411,5,21241.05
44,2025-11-01,440,615,3,433.08
45,2025-11-01,153,92,3,2387.64
46,2025-11-01,175,970,5,14105.65
47,2025-11-01,121,15,5,20151.15
48,2025-11-01,446,792,4,7640.28
49,2025-11-01,848,690,4,1845.2
50,2025-11-01,122,230,2,2506.18
51,2025-11-02,196,969,3,12434.34
52,2025-11-02,295,765,4,3112.24
53,2025-11-02,392,134,4,5414.32
54,2025-11-02,877,212,5,10130.0
55,2025-11-02,221,844,3,429.27
56,2025-11-02,745,694,2,6723.46
57,2025-11-02,429,185,4,11215.2
58,2025-11-02,812,150,1,2971.99
59,2025-11-02,298,1000,3,14121.6
60,2025-11-02,242,633,4,7647.4
