SaleID,CustomerID,ProductID,Quantity,TotalAmount,order_date,raw_comment
1,708,940,2,8518.3,2025/11/01,junk
2,260,566,4,16103.36,2025/11/01,junk
3,317,655,3,1700.64,2025/11/01,junk
4,925,832,1,3793.72,2025/11/01,junk
5,548,888,2,7915.98,2025/11/01,junk
6,879,454,4,16315.52,2025/11/01,junk
7,9,932,4,11842.2,2025/11/01,junk
8,950,940,3,12777.45,2025/11/01,junk
9,309,93,2,3484.94,2025/11/01,junk
10,305,216,2,5756.18,2025/11/01,junk
11,938,450,3,4636.44,2025/11/01,junk
12,901,832,4,15174.88,2025/11/01,junk
13,809,35,3,4404.87,2025/11/01,junk
14,888,83,4,5522.68,2025/11/01,junk
15,483,755,4,886.84,2025/11/01,junk
16,949,862,3,13819.08,2025/11/01,junk
17,735,433,1,3370.81,2025/11/01,junk
18,845,165,3,1716.9,2025/11/01,junk
19,519,68,3,2462.4,2025/11/01,junk
20,431,617,5,605.55,2025/11/01,junk
21,756,335,4,16187.6,2025/11/01,junk
22,712,29,1,650.13,2025/11/01,junk
23,657,657,2,5197.54,2025/11/01,junk
24,646,455,2,7864.7,2025/11/01,junk
25,4,411,2,8496.42,2025/11/01,junk
26,644,313,3,7584.78,2025/11/01,junk
27,590,85,1,596.26,2025/11/01,junk
28,162,256,5,8959.85,2025/11/01,junk
29,731,993,2,3809.58,2025/11/01,junk
30,868,609,4,15798.0,2025/11/01,junk
31,812,962,3,11518.11,2025/11/01,junk
32,463,490,2,7241.26,2025/11/01,junk
33,267,178,5,24005.65,2025/11/01,junk
34,847,336,3,3682.5,2025/11/01,junk
35,204,87,4,9941.52,2025/11/01,junk
36,377,187,4,3290.92,2025/11/01,junk
37,898,387,5,13990.65,2025/11/01,junk
38,230,22,1,1292.32,2025/11/01,junk
39,946,572,5,19573.1,2025/11/01,junk
40,642,235,1,1058.82,2025/11/01,junk
41,998,474,2,9827.54,2025/11/01,junk
42,269,719,2,6834.24,2025/11/01,junk
43,51,411,5,21241.05,2025/11/01,junk
44,440,615,3,433.08,2025/11/01,junk
45,153,92,3,2387.64,2025/11/01,junk
46,175,970,5,14105.65,2025/11/01,junk
47,121,15,5,20151.15,2025/11/01,junk
48,446,792,4,7640.28,2025/11/01,junk
49,848,690,4,1845.2,2025/11/01,junk
50,122,230,2,2506.18,2025/11/01,junk
51,196,969,3,12434.34,2025/11/02,junk
52,295,765,4,3112.24,2025/11/02,junk
